ds,units_sold,price_per_unit_dzd,sales_dzd,promotion,temperature_c,inventory_level
2024-01-01,345.0,100,34500.0,1,22.3,502.0
2024-01-02,295.0,100,29500.0,0,22.3,458.0
2024-01-03,309.0,100,30900.0,0,22.6,514.0
2024-01-04,324.0,100,32400.0,0,23.3,497.0
2024-01-05,299.0,100,29900.0,0,22.7,488.0
2024-01-06,298.0,100,29800.0,0,21.6,455.0
2024-01-07,331.0,100,33100.0,0,24.2,471.0
2024-01-08,318.0,100,31800.0,0,23.3,538.0
2024-01-09,307.0,100,30700.0,0,27.2,525.0
2024-01-10,321.0,100,32100.0,0,25.6,451.0
2024-01-11,305.0,100,30500.0,0,24.7,505.0
2024-01-12,309.0,100,30900.0,0,26.3,538.0
2024-01-13,323.0,100,32300.0,0,28.2,417.0
2024-01-14,290.0,100,29000.0,0,26.7,527.0
2024-01-15,293.0,100,29300.0,0,26.6,467.0
2024-01-16,360.0,100,36000.0,1,29.1,529.0
2024-01-17,309.0,100,30900.0,0,29.5,462.0
2024-01-18,328.0,100,32800.0,0,28.2,410.0
2024-01-19,311.0,100,31100.0,0,28.5,419.0
2024-01-20,306.0,100,30600.0,0,30.1,502.0
2024-01-21,345.0,100,34500.0,0,26.9,513.0
2024-01-22,320.0,100,32000.0,0,27.1,455.0
2024-01-23,326.0,100,32600.0,0,28.6,532.0
2024-01-24,305.0,100,30500.0,0,29.6,417.0
2024-01-25,320.0,100,32000.0,0,30.6,497.0
2024-01-26,333.0,100,33300.0,0,32.8,439.0
2024-01-27,312.0,100,31200.0,0,31.4,467.0
2024-01-28,331.0,100,33100.0,0,29.2,502.0
2024-01-29,316.0,100,31600.0,0,29.3,457.0
2024-01-30,317.0,100,31700.0,0,27.0,481.0
2024-01-31,372.0,100,37200.0,1,28.7,550.0
2024-02-01,349.0,100,34900.0,0,27.8,471.0
2024-02-02,321.0,100,32100.0,0,28.6,542.0
2024-02-03,300.0,100,30000.0,0,25.9,444.0
2024-02-04,331.0,100,33100.0,0,28.1,526.0
2024-02-05,302.0,100,30200.0,0,29.6,572.0
2024-02-06,316.0,100,31600.0,0,25.8,376.0
2024-02-07,283.0,100,28300.0,0,26.2,460.0
2024-02-08,292.0,100,29200.0,0,26.2,529.0
2024-02-09,309.0,100,30900.0,0,23.4,490.0
2024-02-10,317.0,100,31700.0,0,24.0,519.0
2024-02-11,305.0,100,30500.0,0,22.9,470.0
2024-02-12,299.0,100,29900.0,0,22.4,504.0
2024-02-13,291.0,100,29100.0,0,20.0,492.0
2024-02-14,273.0,100,27300.0,0,20.9,558.0
2024-02-15,327.0,100,32700.0,1,21.2,513.0
2024-02-16,288.0,100,28800.0,0,22.4,517.0
2024-02-17,307.0,100,30700.0,0,20.7,479.0
2024-02-18,297.0,100,29700.0,0,22.4,476.0
2024-02-19,255.0,100,25500.0,0,15.9,478.0
2024-02-20,289.0,100,28900.0,0,18.5,520.0
2024-02-21,274.0,100,27400.0,0,16.5,479.0
2024-02-22,273.0,100,27300.0,0,19.9,514.0
2024-02-23,281.0,100,28100.0,0,13.3,604.0
2024-02-24,285.0,100,28500.0,0,12.6,544.0
2024-02-25,283.0,100,28300.0,0,12.5,484.0
2024-02-26,250.0,100,25000.0,0,9.0,560.0
2024-02-27,261.0,100,26100.0,0,11.7,480.0
2024-02-28,268.0,100,26800.0,0,10.7,398.0
2024-02-29,279.0,100,27900.0,0,12.1,450.0
2024-03-01,317.0,100,31700.0,1,12.1,406.0
2024-03-02,264.0,100,26400.0,0,14.9,482.0
2024-03-03,247.0,100,24700.0,0,12.7,501.0
2024-03-04,240.0,100,24000.0,0,9.4,584.0
2024-03-05,268.0,100,26800.0,0,8.6,516.0
2024-03-06,280.0,100,28000.0,0,11.2,489.0
2024-03-07,253.0,100,25300.0,0,7.4,541.0
2024-03-08,278.0,100,27800.0,0,13.7,389.0
2024-03-09,266.0,100,26600.0,0,12.4,512.0
2024-03-10,247.0,100,24700.0,0,9.1,539.0
2024-03-11,258.0,100,25800.0,0,6.7,426.0
2024-03-12,285.0,100,28500.0,0,12.9,557.0
2024-03-13,258.0,100,25800.0,0,10.2,517.0
2024-03-14,287.0,100,28700.0,0,13.1,479.0
2024-03-15,217.0,100,21700.0,0,7.7,532.0
2024-03-16,305.0,100,30500.0,1,10.0,614.0
2024-03-17,264.0,100,26400.0,0,11.6,509.0
